STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,EVAP,PRCP,TMAX,TMIN,WDMV
⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛
⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛
⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛
⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛
⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛
⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛
⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛
⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛
⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛
⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛
⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛
⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛
⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛
⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛
⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛
⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛
⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛
⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛
⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛
⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛

This data has been redacted for security.
